DBN,name,year
07X224,p.s./i.s. 224,2018
17K489,w.e.b. dubois academic high school,2014
08X100,p.s. 100 isaac clason,2014
84K680,achievement first aspire charter school,2015
17K751,academy for health careers,2016
10X023,p.s. 023 the new children's school,2016
25Q120,ps 120 queens,2008
31R022,p.s. 022 graniteville,2017
12X216,bus. schl. entrepren. studies,2009
25Q792,north queens community high school,2018
02M397,spruce street school,2015
09X063,p.s. 063 author's academy,2016
04M072,the lexington academy,2017
08X301,m.s. 301 paul l. dunbar,2017
09X132,p.s. 132 garret a. morgan,2014
06M153,p.s. 153 adam clayton powell,2017
30Q151,p.s. 151 mary d. carter,2018
05M304,mott hall high school,2008
28Q338,queens satellite high school for opportunity,2015
84M357,success academy charter school - harlem 6,2018
32K274,ps 274 kosciusko,2010
19K306,p.s. 306 ethan allen,2015
29Q195,ps 195 william haberle,2011
29Q138,ps 138 sunrise,2006
24Q016,p.s. q016 the nancy debenedittis school,2014
22K206,ps 206 joseph f lamb,2008
31R034,i s 034 tottenville,2011
09X219,i.s. 219 new venture school,2015
02M418,millennium high school,2009
31R028,the eagle academy for young men of staten island,2017
10X353,world view high school,2017
19K507,performing arts and technology high school,2014
11X189,cornerstone academy for social action,2010
27Q183,p.s. 183 dr. richard r. green,2014
25Q025,i s 025 adrien block,2009
18K233,ps 233 langston hughes,2009
10X086,ps 086 kingsbridge heights,2011
09X004,p.s./m.s. 004 crotona park west,2017
11X016,ps 016 wakefield,2010
16K309,ps 309 george e wibecan,2006
29Q181,ps 181 brookfield,2009
20K768,district 20 pre-k center,2017
09X022,j.h.s. 022 jordan l. mott,2017
29Q052,ps 052 queens,2009
24Q119,is 119 the glendale,2011
09X063,ps 063 author's academy,2009
02M312,nyc lab ms for coll. studies,2011
84K876,achievement first voyager charter school,2017
84M174,success academy union square (manhattan 1),2017
02M565,urban academy laboratory high school,2010
18K115,p.s. 115 daniel mucatel school,2015
06M052,j.h.s. 052 inwood,2016
01M184,ps 184m shuang wen,2008
08X301,ms 301 paul l. dunbar ms,2010
30Q227,i s 227 louis armstrong,2011
32K116,ps 116 elizabeth l farrell,2010
11X357,young voices academy of the bronx,2015
27Q137,ms 137 america's schl of heroes,2006
24Q049,p.s. 049 dorothy bonawit kole,2018
12X388,pan american international high school at monroe,2010
08X071,ps 071 rose e scala,2010
04M555,central park east secondary high school,2009
30Q127,p.s. 127 aerospace science magnet school,2016
04M072,the lexington academy,2015
19K260,ps 260 breuckelen,2011
25Q163,ps 163 flushing heights,2006
15K463,secondary school for journalism,2015
18K208,ps 208 elsa ebeling,2009
02M418,millennium high school,2008
29Q135,the bellaire school,2015
09X109,p.s. 109 sedgwick,2017
27Q066,p.s. 066 jacqueline kennedy onassis,2018
25Q024,ps 024 andrew jackson,2007
16K081,p.s. 081 thaddeus stevens,2017
08X107,ps 107                                          ,2012
84K797,new hope academy charter school,2014
29Q283,preparatory academy for writers: a college board,2007
29Q355,collaborative arts middle school,2015
29Q181,p.s. 181 brookfield,2015
30Q445,william cullen bryant high school,2016
09X525,bronx leadership academy high school,2017
05M362,columbia secondary school,2017
14K018,ps 018 edward bush,2009
11X076,ps 076 the bennington school,2008
17K539,high school for service & learning at erasmus,2018
22K326,ps 326,2006
02M408,professional performing arts high school,2010
16K040,p.s. 040 george w. carver,2018
10X549,discovery high school,2014
17K484,ronald edmonds learning center ii,2007
28Q690,high school for law enforcement and public safet,2011
22K315,p.s. 315 dist 22.,2011
23K697,teachers preparatory high school,2008
18K114,p.s. 114 ryder elementary,2014
84M388,st. hope leadership academy charter school,2014
18K066,p.s. 66,2014
23K401,christopher avenue community school,2014
17K546,high school for public service: heroes of tomorr,2009
31R010,fort hill collaborative elementary school,2015
20K200,ps 200 benson school,2010
15K519,cobble hill school of american studies,2009
22K381,i. s. 381,2006
10X237,"the marie curie school for medicine, nursing, and",2017
18K563,it takes a village academy,2016
06M052,jhs 052 inwood,2007
08X558,westchester square academy,2015
27Q400,august martin high school,2014
31R016,p.s. 016 john j. driscoll,2017
24Q028,p.s. 28  the thomas emanuel early childhood cen,2009
30Q122,p.s. 122 mamie fay,2016
22K251,ps 251 paedergat,2010
31R021,ps 21 margaret emeryelm park                   ,2012
32K045,ps 045 horace e greene,2006
31R042,p.s. 042 eltingville,2016
26Q172,irwin altman middle school 172,2006
04M057,james weldon johnson,2015
18K114,p.s. 114 ryder elementary,2017
19K452,frederick douglass academy viii middle school,2015
07X520,foreign language academy of global studies,2008
12X061,p.s. 061 francisco oller,2017
01M650,cascades high school,2014
31R605,staten island technical high school,2014
12X098,j.h.s. 098 herman ridder,2016
24Q330,p.s. 330,2015
09X263,validus preparatory academy: an expeditionary le,2010
05M685,bread & roses integrated arts high school,2006
26Q266,p.s./i.s. 266,2011
18K235,ps 235 lenox                                    ,2012
29Q356,community voices middle school,2016
24Q610,aviation career & technical education high school,2015
07X495,university heights secondary school,2014
84K367,success academy charter school - bed-stuy 1,2018
01M134,ps 134 henrietta szold,2006
24Q113,p.s./i.s. 113 anthony j. pranzo,2018
25Q107,ps 107 thomas a dooley,2011
22K240,andries hudde,2016
09X403,bronx international high school,2007
26Q203,p.s. 203 oakland gardens,2016
15K462,secondary school for law,2009
19K290,p.s. 290 juan morel campos,2014
10X360,p.s. 360,2018
84X347,international leadership charter high school,2016
15K136,i.s. 136 charles o. dewey,2018
31R001,ps 001 tottenville,2010
17K751,academy for health careers,2015
23K646,aspirations diploma plus high school,2015
18K272,ps 272 curtis estabrook,2011
13K575,bedford stuyvesant preparatory high school,2015
19K325,the fresh creek school,2015
12X480,bronx regional high school,2010
17K191,p.s. 191 paul robeson,2018
29Q052,ps 052 queens,2011
24Q307,pioneer academy,2010
15K010,"magnet school of math, science and design technolo",2018
30Q575,academy of american studies,2009
19K306,p.s. 306 ethan allen,2016
84X346,south bronx classical charter school,2016
84K788,achievement first linden elementary school,2016
09X449,grant avenue elementary school,2010
28Q099,ps 099 kew gardens,2011
05M194,ps 194 countee cullen,2006
18K563,it takes a village academy,2015
08X650,jane addams high school for academic careers,2006
01M064,ps 064 robert simon,2006
14K478,enterprise business and tech hs,2006
02M565,urban academy laboratory high school,2007
17K375,ps 375 jackierobinson school,2009
24Q877,51 avenue academy (the path to academic excellen,2007
11X087,ps 087 bronx,2011
31R450,curtis high school,2017
23K697,teachers preparatory high school,2018
21K095,p.s. 095 the gravesend,2018
30Q555,newcomers high school,2018
21K209,p.s. 209 margaret mead,2017
28Q072,jhs 072 cath. & count basie,2009
15K684,millennium brooklyn hs,2015
15K230,p.s. 230 doris l. cohen,2016
28Q470,jamaica high school,2011
09X414,jonathan levin high school for media and communi,2010
31R450,curtis high school,2018
08X305,pablo neruda academy for architecture and world ,2012
10X442,the celia cruz bronx high school of music,2008
27Q253,ps 253,2011
06M153,p.s. 153 adam clayton powell,2018
20K069,ps 69,2009
06M319,m.s. 319 - maria teresa,2017
09X297,morris academy for collaborative studies,2018
